usuario_id,mes_referencia,renda_mensal,total_despesas,percentual_renda_comprometida,nivel_endividamento_pct,taxa_poupanca_pct,percentual_despesas_fixas,percentual_gastos_nao_essenciais,quantidade_despesas_recorrentes,quantidade_transacoes_despesa,variacao_despesas_pct,reserva_em_meses,score_financeiro,perfil_financeiro,confianca_perfil,fatores_risco,fatores_positivos,regra_rotulacao,split,fonte
USR000001,2025-07,3043.03,2020.3,66.39,0.02,21.62,42.89,57.11,3,4,0.0,7.08,100.0,SAUDAVEL,0.8988,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000002,2025-07,4910.84,3979.57,81.04,28.89,5.29,37.62,57.45,1,6,0.0,3.34,63.0,EM_OBSERVACAO,0.7827,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|gastos_nao_essenciais_altos,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000003,2025-07,4018.8,4572.8,113.79,71.45,1.67,37.91,6.31,4,8,0.0,0.86,5.0,EM_RISCO,0.9547,despesas_acima_da_renda|endividamento_muito_alto|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000004,2025-07,2656.54,2243.39,84.45,42.1,10.95,22.76,0.0,3,5,0.0,1.11,62.0,EM_OBSERVACAO,0.7416,renda_comprometida|endividamento_alto|reserva_baixa,poupanca_regular,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000005,2025-07,4489.15,2653.12,59.1,6.93,16.71,68.2,20.38,6,10,0.0,13.28,100.0,SAUDAVEL,0.9427,nenhum_relevante,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000006,2025-07,15048.26,14009.2,93.1,44.67,6.7,47.34,27.59,3,7,0.0,3.44,45.0,EM_RISCO,0.6286,renda_muito_comprometida|endividamento_alto|baixa_taxa_poupanca|gastos_nao_essenciais_em_atencao,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000007,2025-07,3453.04,1993.74,57.74,1.86,20.84,94.56,5.44,5,7,0.0,16.25,100.0,SAUDAVEL,0.9521,nenhum_relevante,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000008,2025-07,5879.21,3637.71,61.87,17.44,15.76,32.98,55.71,5,8,0.0,16.52,100.0,SAUDAVEL,0.959,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000009,2025-07,2252.01,1771.35,78.66,33.0,7.74,9.3,90.7,3,4,0.0,1.21,55.0,EM_OBSERVACAO,0.7107,renda_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa|gastos_nao_essenciais_altos,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000010,2025-07,9225.65,5855.69,63.47,1.57,17.26,47.38,42.5,4,11,0.0,13.64,100.0,SAUDAVEL,0.9402,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000011,2025-07,6328.02,4454.5,70.39,8.46,14.66,47.83,44.7,3,7,0.0,10.07,85.0,SAUDAVEL,0.7159,renda_comprometida|gastos_nao_essenciais_altos,baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000012,2025-07,3106.74,3064.35,98.64,20.83,4.01,60.23,28.59,5,9,0.0,2.37,48.0,EM_RISCO,0.617,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa|gastos_nao_essenciais_em_atencao,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000013,2025-07,2800.81,1893.19,67.59,13.58,11.64,42.55,57.45,2,4,0.0,33.35,95.0,SAUDAVEL,0.8701,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000014,2025-07,2602.93,1542.05,59.24,22.01,10.39,27.02,72.98,2,8,0.0,23.59,86.0,SAUDAVEL,0.6784,endividamento_moderado|gastos_nao_essenciais_altos,despesas_controladas|poupanca_regular|reserva_robusta,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000015,2025-07,6929.78,6866.64,99.09,26.2,3.59,70.57,0.0,1,4,0.0,1.15,53.0,EM_OBSERVACAO,0.6487,renda_muito_comprometida|endividamento_moderado|baixa_taxa_poupanca|reserva_baixa,nenhum_relevante,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000016,2025-07,4179.44,3880.01,92.84,15.03,6.23,66.29,17.56,3,12,0.0,4.68,70.0,EM_OBSERVACAO,0.6501,renda_muito_comprometida|baixa_taxa_poupanca,baixo_endividamento|reserva_adequada,SCORE_SINTETICO_V1,VALIDATION,SINTETICO
USR000017,2025-07,9678.17,6600.58,68.2,10.17,17.47,43.7,30.76,1,6,0.0,5.6,100.0,SAUDAVEL,0.9519,gastos_nao_essenciais_em_atencao,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_adequada,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000018,2025-07,7310.01,5678.86,77.69,25.55,8.03,48.86,20.42,3,6,0.0,2.81,73.0,EM_OBSERVACAO,0.6106,renda_comprometida|endividamento_moderado|reserva_baixa,poupanca_regular,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000019,2025-07,8517.36,5184.07,60.86,0.0,17.48,88.06,11.4,6,11,0.0,13.13,100.0,SAUDAVEL,0.9633,nenhum_relevante,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TEST,SINTETICO
USR000020,2025-07,9619.6,9905.44,102.97,57.22,2.5,50.05,13.52,3,5,0.0,0.45,15.0,EM_RISCO,0.9466,despesas_acima_da_renda|endividamento_alto|poupanca_insuficiente|sem_reserva_adequada,nenhum_relevante,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000021,2025-07,2398.0,1466.54,61.16,16.56,21.32,46.09,42.73,2,7,0.0,13.17,100.0,SAUDAVEL,0.9729,gastos_nao_essenciais_altos,despesas_controladas|baixo_endividamento|boa_taxa_poupanca|reserva_robusta,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000022,2025-07,2290.3,2110.04,92.13,41.63,8.81,65.17,27.66,4,8,0.0,2.39,45.0,EM_RISCO,0.652,renda_muito_comprometida|endividamento_alto|reserva_baixa|gastos_nao_essenciais_em_atencao,poupanca_regular,SCORE_SINTETICO_V1,TRAIN,SINTETICO
USR000023,2025-07,17052.55,17130.5,100.46,45.73,7.64,7.84,92.16,1,4,0.0,4.47,27.0,EM_RISCO,0.9203,despesas_acima_da_renda|endividamento_alto|baixa_taxa_poupanca|gastos_nao_essenciais_altos,reserva_adequada,SCORE_SINTETICO_V1,TRAIN,SINTETICO
